EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,
1313919,41.00,No,Travel_Rarely,1102.00,Cardiology,1.00,2.00,Life Sciences,1.00,2.00,Female,94.00,3.00,2.00,Nurse,4.00,Single,5993.00,19479.00,8.00,Y,Yes,11.00,3.00,1.00,80.00,0.00,8.00,0.00,1.00,6.00,4.00,0.00,5.00,
1200302,49.00,No,Travel_Frequently,279.00,Maternity,8.00,1.00,Life Sciences,1.00,3.00,Male,61.00,2.00,2.00,Other,2.00,Married,5130.00,24907.00,1.00,Y,No,23.00,4.00,4.00,80.00,1.00,10.00,3.00,3.00,10.00,7.00,1.00,7.00,
1060315,37.00,Yes,Travel_Rarely,1373.00,Maternity,2.00,2.00,Other,1.00,4.00,Male,92.00,2.00,1.00,Nurse,3.00,Single,2090.00,2396.00,6.00,Y,Yes,15.00,3.00,2.00,80.00,0.00,7.00,3.00,3.00,0.00,0.00,0.00,0.00,
1272912,33.00,No,Travel_Frequently,1392.00,Maternity,3.00,4.00,Life Sciences,1.00,4.00,Female,56.00,3.00,1.00,Other,3.00,Married,2909.00,23159.00,1.00,Y,Yes,11.00,3.00,3.00,80.00,0.00,8.00,3.00,3.00,8.00,7.00,3.00,0.00,
1414939,27.00,No,Travel_Rarely,591.00,Maternity,2.00,1.00,Medical,1.00,1.00,Male,40.00,3.00,1.00,Nurse,2.00,Married,3468.00,16632.00,9.00,Y,No,12.00,3.00,4.00,80.00,1.00,6.00,3.00,3.00,2.00,2.00,2.00,2.00,
1633361,32.00,No,Travel_Frequently,1005.00,Maternity,2.00,2.00,Life Sciences,1.00,4.00,Male,79.00,3.00,1.00,Nurse,4.00,Single,3068.00,11864.00,0.00,Y,No,13.00,3.00,3.00,80.00,0.00,8.00,2.00,2.00,7.00,7.00,3.00,6.00,
1329390,59.00,No,Travel_Rarely,1324.00,Maternity,3.00,3.00,Medical,1.00,3.00,Female,81.00,4.00,1.00,Nurse,1.00,Married,2670.00,9964.00,4.00,Y,Yes,20.00,4.00,1.00,80.00,3.00,12.00,3.00,2.00,1.00,0.00,0.00,0.00,
1699288,30.00,No,Travel_Rarely,1358.00,Maternity,24.00,1.00,Life Sciences,1.00,4.00,Male,67.00,3.00,1.00,Nurse,3.00,Divorced,2693.00,13335.00,1.00,Y,No,22.00,4.00,2.00,80.00,1.00,1.00,2.00,3.00,1.00,0.00,0.00,0.00,
1469740,38.00,No,Travel_Frequently,216.00,Maternity,23.00,3.00,Life Sciences,1.00,4.00,Male,44.00,2.00,3.00,Therapist,3.00,Single,9526.00,8787.00,0.00,Y,No,21.00,4.00,2.00,80.00,0.00,10.00,2.00,3.00,9.00,7.00,1.00,8.00,
1101291,36.00,No,Travel_Rarely,1299.00,Maternity,27.00,3.00,Medical,1.00,3.00,Male,94.00,3.00,2.00,Nurse,3.00,Married,5237.00,16577.00,6.00,Y,No,13.00,3.00,2.00,80.00,2.00,17.00,3.00,2.00,7.00,7.00,7.00,7.00,
